time,station,tl,rf
2026-03-01T00:00+00:00,17901,-1.1,91
2026-03-01T00:10+00:00,17901,-0.8,91
2026-03-01T00:20+00:00,17901,-0.6,91
2026-03-01T00:30+00:00,17901,-1.1,90
2026-03-01T00:40+00:00,17901,-0.8,90
2026-03-01T00:50+00:00,17901,-0.5,88
2026-03-01T01:00+00:00,17901,-0.7,90
2026-03-01T01:10+00:00,17901,-1.2,90
2026-03-01T01:20+00:00,17901,-1.4,90
2026-03-01T01:30+00:00,17901,-1.2,91
2026-03-01T01:40+00:00,17901,-1.2,90
2026-03-01T01:50+00:00,17901,-0.9,90
2026-03-01T02:00+00:00,17901,-1.4,91
2026-03-01T02:10+00:00,17901,-1.6,91
2026-03-01T02:20+00:00,17901,-1.6,90
2026-03-01T02:30+00:00,17901,-1.8,90
2026-03-01T02:40+00:00,17901,-1.6,93
2026-03-01T02:50+00:00,17901,-2.3,91
2026-03-01T03:00+00:00,17901,-2.2,91
2026-03-01T03:10+00:00,17901,-2.3,92
2026-03-01T03:20+00:00,17901,-1.9,91
2026-03-01T03:30+00:00,17901,-1.8,93
2026-03-01T03:40+00:00,17901,-2.5,91
2026-03-01T03:50+00:00,17901,-2.4,93
2026-03-01T04:00+00:00,17901,-2.6,92
2026-03-01T04:10+00:00,17901,-2.5,92
2026-03-01T04:20+00:00,17901,-2.6,92
2026-03-01T04:30+00:00,17901,-2.0,92
2026-03-01T04:40+00:00,17901,-2.6,91
2026-03-01T04:50+00:00,17901,-2.6,91
2026-03-01T05:00+00:00,17901,-2.2,92
2026-03-01T05:10+00:00,17901,-2.4,91
2026-03-01T05:20+00:00,17901,-2.5,92
2026-03-01T05:30+00:00,17901,-2.5,91
2026-03-01T05:40+00:00,17901,-3.2,91
2026-03-01T05:50+00:00,17901,-2.9,92
2026-03-01T06:00+00:00,17901,-2.6,92
2026-03-01T06:10+00:00,17901,-2.4,92
2026-03-01T06:20+00:00,17901,-2.3,91
2026-03-01T06:30+00:00,17901,-1.9,89
2026-03-01T06:40+00:00,17901,-2.2,88
2026-03-01T06:50+00:00,17901,-1.6,89
2026-03-01T07:00+00:00,17901,-1.4,89
2026-03-01T07:10+00:00,17901,-1.0,88
2026-03-01T07:20+00:00,17901,-0.3,88
2026-03-01T07:30+00:00,17901,0.1,86
2026-03-01T07:40+00:00,17901,0.6,85
2026-03-01T07:50+00:00,17901,1.4,83
2026-03-01T08:00+00:00,17901,2.1,78
2026-03-01T08:10+00:00,17901,3.0,77
2026-03-01T08:20+00:00,17901,4.2,72
2026-03-01T08:30+00:00,17901,4.3,71
2026-03-01T08:40+00:00,17901,4.5,69
2026-03-01T08:50+00:00,17901,5.0,67
2026-03-01T09:00+00:00,17901,5.6,64
2026-03-01T09:10+00:00,17901,6.0,64
2026-03-01T09:20+00:00,17901,5.8,64
2026-03-01T09:30+00:00,17901,6.3,62
2026-03-01T09:40+00:00,17901,6.3,60
2026-03-01T09:50+00:00,17901,7.0,57
2026-03-01T10:00+00:00,17901,6.8,58
2026-03-01T10:10+00:00,17901,7.5,58
2026-03-01T10:20+00:00,17901,7.9,54
2026-03-01T10:30+00:00,17901,8.0,55
2026-03-01T10:40+00:00,17901,8.1,54
2026-03-01T10:50+00:00,17901,8.4,52
2026-03-01T11:00+00:00,17901,7.9,53
2026-03-01T11:10+00:00,17901,7.9,53
2026-03-01T11:20+00:00,17901,8.5,53
2026-03-01T11:30+00:00,17901,8.5,53
2026-03-01T11:40+00:00,17901,8.3,51
2026-03-01T11:50+00:00,17901,8.4,52
2026-03-01T12:00+00:00,17901,8.5,51
2026-03-01T12:10+00:00,17901,8.4,51
2026-03-01T12:20+00:00,17901,8.8,51
2026-03-01T12:30+00:00,17901,9.4,49
2026-03-01T12:40+00:00,17901,9.9,47
2026-03-01T12:50+00:00,17901,9.8,48
2026-03-01T13:00+00:00,17901,10.1,47
2026-03-01T13:10+00:00,17901,10.6,47
2026-03-01T13:20+00:00,17901,11.2,46
2026-03-01T13:30+00:00,17901,11.6,46
2026-03-01T13:40+00:00,17901,11.5,46
2026-03-01T13:50+00:00,17901,11.9,44
2026-03-01T14:00+00:00,17901,11.7,46
2026-03-01T14:10+00:00,17901,11.8,46
2026-03-01T14:20+00:00,17901,12.1,47
2026-03-01T14:30+00:00,17901,12.2,47
2026-03-01T14:40+00:00,17901,12.3,46
2026-03-01T14:50+00:00,17901,12.0,49
2026-03-01T15:00+00:00,17901,11.8,49
2026-03-01T15:10+00:00,17901,11.6,50
2026-03-01T15:20+00:00,17901,11.2,51
2026-03-01T15:30+00:00,17901,11.2,51
2026-03-01T15:40+00:00,17901,10.7,53
2026-03-01T15:50+00:00,17901,10.4,54
2026-03-01T16:00+00:00,17901,10.5,54
2026-03-01T16:10+00:00,17901,9.6,57
2026-03-01T16:20+00:00,17901,9.4,58
2026-03-01T16:30+00:00,17901,9.2,58
2026-03-01T16:40+00:00,17901,8.4,61
2026-03-01T16:50+00:00,17901,9.0,59
2026-03-01T17:00+00:00,17901,8.7,61
2026-03-01T17:10+00:00,17901,8.4,61
2026-03-01T17:20+00:00,17901,7.9,63
2026-03-01T17:30+00:00,17901,7.7,64
2026-03-01T17:40+00:00,17901,7.0,67
2026-03-01T17:50+00:00,17901,7.0,67
2026-03-01T18:00+00:00,17901,6.3,70
2026-03-01T18:10+00:00,17901,5.7,73
2026-03-01T18:20+00:00,17901,5.6,74
2026-03-01T18:30+00:00,17901,6.0,73
2026-03-01T18:40+00:00,17901,6.0,73
2026-03-01T18:50+00:00,17901,5.5,74
2026-03-01T19:00+00:00,17901,5.5,74
2026-03-01T19:10+00:00,17901,5.0,76
2026-03-01T19:20+00:00,17901,4.7,78
2026-03-01T19:30+00:00,17901,4.4,79
2026-03-01T19:40+00:00,17901,4.3,79
2026-03-01T19:50+00:00,17901,3.9,80
2026-03-01T20:00+00:00,17901,4.0,80
2026-03-01T20:10+00:00,17901,3.6,82
2026-03-01T20:20+00:00,17901,4.0,80
2026-03-01T20:30+00:00,17901,3.2,83
2026-03-01T20:40+00:00,17901,3.3,83
2026-03-01T20:50+00:00,17901,3.6,82
2026-03-01T21:00+00:00,17901,3.3,83
2026-03-01T21:10+00:00,17901,3.2,84
2026-03-01T21:20+00:00,17901,3.0,85
2026-03-01T21:30+00:00,17901,3.1,84
2026-03-01T21:40+00:00,17901,3.4,83
2026-03-01T21:50+00:00,17901,3.3,83
2026-03-01T22:00+00:00,17901,3.1,84
2026-03-01T22:10+00:00,17901,3.2,84
2026-03-01T22:20+00:00,17901,3.8,81
2026-03-01T22:30+00:00,17901,3.3,83
2026-03-01T22:40+00:00,17901,3.4,83
2026-03-01T22:50+00:00,17901,3.2,84
2026-03-01T23:00+00:00,17901,3.0,84
2026-03-01T23:10+00:00,17901,3.0,85
2026-03-01T23:20+00:00,17901,3.1,84
2026-03-01T23:30+00:00,17901,3.0,84
2026-03-01T23:40+00:00,17901,2.7,85
2026-03-01T23:50+00:00,17901,2.8,85
2026-03-02T00:00+00:00,17901,2.7,85
2026-03-02T00:10+00:00,17901,2.8,86
2026-03-02T00:20+00:00,17901,2.7,86
2026-03-02T00:30+00:00,17901,2.9,85
2026-03-02T00:40+00:00,17901,3.1,84
2026-03-02T00:50+00:00,17901,3.1,84
2026-03-02T01:00+00:00,17901,3.1,85
2026-03-02T01:10+00:00,17901,2.9,85
2026-03-02T01:20+00:00,17901,2.9,85
2026-03-02T01:30+00:00,17901,2.8,86
2026-03-02T01:40+00:00,17901,2.9,85
2026-03-02T01:50+00:00,17901,3.0,85
2026-03-02T02:00+00:00,17901,2.9,85
2026-03-02T02:10+00:00,17901,2.9,85
2026-03-02T02:20+00:00,17901,2.8,85
2026-03-02T02:30+00:00,17901,2.9,85
2026-03-02T02:40+00:00,17901,2.7,86
2026-03-02T02:50+00:00,17901,2.7,86
2026-03-02T03:00+00:00,17901,2.9,86
2026-03-02T03:10+00:00,17901,2.8,85
2026-03-02T03:20+00:00,17901,2.6,86
2026-03-02T03:30+00:00,17901,2.8,86
